ds,yhat
2016-03-01 00:00:00,71.68911313909884
2016-03-01 01:00:00,85.58947133316198
2016-03-01 02:00:00,94.2135880138481
2016-03-01 03:00:00,106.08773073055296
2016-03-01 04:00:00,105.8622735687345
2016-03-01 05:00:00,104.68763015466214
2016-03-01 06:00:00,99.87495303381834
2016-03-01 07:00:00,110.80694290530772
2016-03-01 08:00:00,116.25983061352736
2016-03-01 09:00:00,120.47637298638278
2016-03-01 10:00:00,115.30757886306289
2016-03-01 11:00:00,112.10776739672458
2016-03-01 12:00:00,116.76238115814236
2016-03-01 13:00:00,117.26127797845203
2016-03-01 14:00:00,106.75949917180446
2016-03-01 15:00:00,103.46310795692435
2016-03-01 16:00:00,100.20519269594087
2016-03-01 17:00:00,105.16733243908425
2016-03-01 18:00:00,101.33770623243804
2016-03-01 19:00:00,111.9919299915195
2016-03-01 20:00:00,109.60817722126598
2016-03-01 21:00:00,120.42514368201816
2016-03-01 22:00:00,122.47704079566185
2016-03-01 23:00:00,139.4460338982525
2016-03-02 00:00:00,143.32183018945216
2016-03-02 01:00:00,147.66721818792553
2016-03-02 02:00:00,150.88545891424866
2016-03-02 03:00:00,147.95176093322516
2016-03-02 04:00:00,141.7651553398656
2016-03-02 05:00:00,137.45615145991192
2016-03-02 06:00:00,137.42766541257348
2016-03-02 07:00:00,134.4342852288431
2016-03-02 08:00:00,148.86603470485903
2016-03-02 09:00:00,134.91140871536373
2016-03-02 10:00:00,138.44037138316625
2016-03-02 11:00:00,146.19212369559165
2016-03-02 12:00:00,154.19183093948175
2016-03-02 13:00:00,153.01421840472727
2016-03-02 14:00:00,132.76027205418904
2016-03-02 15:00:00,128.0450824491466
2016-03-02 16:00:00,138.55500397640725
2016-03-02 17:00:00,142.4961727588772
2016-03-02 18:00:00,149.32046549518958
2016-03-02 19:00:00,160.08762776225717
2016-03-02 20:00:00,159.84500322275474
2016-03-02 21:00:00,165.01572047354145
2016-03-02 22:00:00,181.24880770350023
2016-03-02 23:00:00,179.74934112161444
2016-03-03 00:00:00,160.44828538940888
2016-03-03 01:00:00,159.47431554756082
2016-03-03 02:00:00,189.18267579559108
2016-03-03 03:00:00,187.78828685429215
2016-03-03 04:00:00,186.88282764492084
2016-03-03 05:00:00,174.4761046850757
2016-03-03 06:00:00,180.4030243930717
2016-03-03 07:00:00,186.18011339514658
2016-03-03 08:00:00,195.6974709097563
2016-03-03 09:00:00,205.24226704724563
2016-03-03 10:00:00,214.50688728822712
2016-03-03 11:00:00,221.2314314849549
2016-03-03 12:00:00,226.14694485561375
2016-03-03 13:00:00,226.88353363709592
2016-03-03 14:00:00,230.89874698386473
2016-03-03 15:00:00,225.0321050193893
2016-03-03 16:00:00,224.7468273112276
2016-03-03 17:00:00,223.26892648087926
2016-03-03 18:00:00,222.20829480716026
2016-03-03 19:00:00,217.07100624841183
2016-03-03 20:00:00,223.87607153681498
2016-03-03 21:00:00,221.59203506795728
2016-03-03 22:00:00,220.2944030964779
2016-03-03 23:00:00,224.54940954681618
