Horizont,MAE,RMSE,MASE,MAPE %
8 h,10.436991226521846,11.355148970467566,0.17620318797676232,10.972812096623237
24 h,22.438159514328717,29.839203245058904,0.3788136976400826,15.968198416124613
48 h,33.219925507475175,40.043811731945944,0.5608375681962099,20.93973265691423
72 h,54.53903504348347,68.87415800856516,0.9207588312825178,24.169789845891852
ganzes Jahr,40.491638798075265,63.07173640777843,0.6836027441025352,99.58367675466681
