Modell,MAE,RMSE,MASE,MAPE %
Behandelt + FT + Reg,40.2929941352801,62.43179349254351,0.6802491125722018,105.73895914318774
Behandelt + FT + Reg + Heizperiode,40.491638798075265,63.07173640777843,0.6836027441025352,99.58367675466681
