Modell,Horizont,MAE,RMSE,MASE,MAPE %
Seasonal Naive,8 h,86.75,88.65946086007968,1.4475615709775327,88.20305243365048
Seasonal Naive,24 h,92.5,95.97352065370254,1.5435094560855536,75.1740694712435
Seasonal Naive,48 h,114.89583333333333,125.72150107811048,1.9172195158359973,75.80375407677002
Seasonal Naive,72 h,166.76388888888889,188.37223049648858,2.7827204263091954,80.55285618099019
Seasonal Naive,ganzes Jahr,63.589957551097484,98.56602782932404,1.0610994680237613,120.64117050656064
"Prophet + Wetter (Lag, nur Train)",8 h,37.72193002073813,43.97994527044693,0.6294503317708846,34.85628861869945
"Prophet + Wetter (Lag, nur Train)",24 h,61.93714443283462,70.55231972972169,1.0335196552974804,45.63607224579149
"Prophet + Wetter (Lag, nur Train)",48 h,86.20151865093489,97.39659256027855,1.4384092882881427,53.931904555653766
"Prophet + Wetter (Lag, nur Train)",72 h,137.83405318268885,163.57332927885756,2.2999801563035605,62.20041851089003
"Prophet + Wetter (Lag, nur Train)",ganzes Jahr,74.05086895402793,104.40175250276576,1.2356563941826406,126.20878964618785
"Prophet + Wetter+Co (Lag, nur Train)",8 h,30.828190441990344,35.61142623415426,0.5144173347158744,28.55401126413848
"Prophet + Wetter+Co (Lag, nur Train)",24 h,57.7584585721539,68.07155984092533,0.9637916429734621,41.791984513964245
"Prophet + Wetter+Co (Lag, nur Train)",48 h,80.58769201540493,92.15231190408088,1.3447336721068948,49.89031687053845
"Prophet + Wetter+Co (Lag, nur Train)",72 h,132.24842555177818,159.06562335490213,2.206775085314551,58.84093897634626
"Prophet + Wetter+Co (Lag, nur Train)",ganzes Jahr,64.99016583115834,95.24867162116135,1.0844641677076878,142.74803337639145
