Station,Konfiguration,MAE,RMSE,MASE,MAPE %,MAE_8h,RMSE_8h,MASE_8h,MAPE_8h,MAE_24h,RMSE_24h,MASE_24h,MAPE_24h,MAE_48h,RMSE_48h,MASE_48h,MAPE_48h,MAE_72h,RMSE_72h,MASE_72h,MAPE_72h
Aotizhongxin,Seasonal Naive (Baseline),63.58586853120243,98.54764239634842,1.073492590182327,120.62126130468593,86.75,88.65946086007968,1.464562556892951,88.20305243365048,92.5,95.97352065370254,1.5616373085025703,75.1740694712435,114.89583333333333,125.72150107811048,1.9397364316197467,75.80375407677002,166.76388888888889,188.37223049648858,2.8154022767553095,80.55285618099019
Aotizhongxin,Seasonal Naive (Vorjahr),73.13830901387206,107.52612159767203,1.2347622922902968,239.24825742938336,32.25,36.23189202898463,0.544462737288734,31.20475033929622,73.375,91.19603934707139,1.238758243366228,53.590356967026196,116.89583333333333,133.99092181797104,1.9735015626143968,73.63038189526732,171.04166666666666,196.95830150279068,2.8876221402716444,79.88837982715016
Aotizhongxin,Basis (univariat),78.82557927877517,114.01808409839273,1.3307780050385127,97.47375744655751,51.79056189454283,57.507586761613915,0.8743575533278881,49.221236612335176,82.48853038387007,89.2507498054254,1.3926180169837767,62.917827523567546,107.89388111786688,116.68734195741582,1.8215255147329938,70.18099416865323,160.68869576712916,183.95843580543743,2.7128374309683023,75.86256255871172
Aotizhongxin,Basis + Feiertage,79.71063686442477,115.21839134511455,1.3457200476971467,98.93376672203291,63.718235633748385,68.54372142795063,1.0757272864607503,61.91185542544619,95.15204116296961,101.22085340973486,1.606410567138007,73.69990167646327,120.60999563549449,128.64120462245145,2.0362061509483285,79.58275014841965,173.3217363105523,195.10895314999976,2.9261155653730064,83.55760347459574
Aotizhongxin,Basis + Feiertage + Regressoren,62.21087648784625,89.93624074050864,1.0502791969520655,87.64202092133702,14.230927464068806,18.381022121591936,0.24025456499982398,12.936035929662765,30.353372082392628,39.27357968855019,0.5124427922456722,21.084328013469978,38.9592042353083,48.27908050320517,0.6577313172262572,23.645388769081045,63.47631299347638,79.52702624911049,1.0716430116410722,27.707372405151865
Aotizhongxin,Behandelt + Feiertage + Regressoren,40.2929941352801,62.43179349254351,0.6802491125722018,105.73895914318774,10.375327968622482,11.323417388857882,0.17516215398649787,10.801634834036673,22.46491868908285,29.90150271455035,0.3792654611605236,15.935579760626453,33.31001906396575,40.11875536332206,0.562358578564549,20.98761095099121,54.30277629077302,68.46607847921929,0.9167701774155672,24.102041998554924
Aotizhongxin,Behandelt + FT + Reg + Log,39.63743390655818,66.78135245505085,0.6691815740733625,68.69155571865028,43.58016523111543,46.73721398082798,0.7357449938985556,42.74781782894262,60.81079849781787,65.95769285661625,1.026642288584048,46.762996129981154,62.01152957260519,71.33156598719864,1.0469137095988186,40.108629806903444,62.13199495146111,70.79566915609763,1.0489474742475138,33.856088464421696
Changping,Seasonal Naive (Baseline),52.70533961187215,82.06537863253199,0.9795234143523119,126.20895697905436,59.25,60.57020719792859,1.101155266767343,82.36254954194303,61.541666666666664,63.14896409812806,1.1437456603483582,67.5075029787585,78.77083333333333,86.1056763517946,1.4639479829983557,69.67753559314907,116.55555555555556,133.5234061878291,2.166173229890188,75.28958192372703
Changping,Seasonal Naive (Vorjahr),59.631212220047836,86.6768826870092,1.1082400573810434,220.56364599363042,31.375,48.13652459411668,0.5831012066637196,41.85293197290411,57.354166666666664,71.6289225543446,1.0659213957139575,55.28955215163314,88.90625,101.20295832211698,1.652313678245301,73.90619980134856,127.09027777777777,146.98567868215704,2.361959978564128,79.34365287631233
Changping,Basis (univariat),66.54700174189541,97.52974448528876,1.2367693072685852,98.90562531040466,47.46640468707699,48.16714484626839,0.882158337817467,66.38161480432629,68.14896822509682,70.76005931864901,1.266541692587775,70.74390324198544,87.16735322578796,92.2220333972708,1.619996457295287,75.95889860027961,125.76325179591004,143.13135980366965,2.337297334697955,80.49263178164254
